# Raster Studio interface strings, pl. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Polski
 fps	 kl./s
 frames	 klatek
 ms	 ms
 px	 px
0 bytes	0 bajtów
16 Bits/Channel	16 bitów/kanał
16 bit	16 bitów
32 Bits/Channel	32 bity/kanał
3D	3D
50% Grey	50% szarości
50% Threshold	Próg 50%
8 Bits/Channel	8 bitów/kanał
8 bit	8 bitów
90° Clockwise	90° w prawo
90° Counter Clockwise	90° w lewo
A CSV row has the wrong number of fields, at line	Wiersz CSV ma złą liczbę pól, w wierszu
A blank canvas at any size	Puste płótno w dowolnym rozmiarze
A colour channel cannot be deleted	Nie można usunąć kanału koloru
A layered raster editor	Edytor grafiki rastrowej z warstwami
A palette holds 2 to 256 colours	Paleta zawiera od 2 do 256 kolorów
A saved selection already has that name	Zapisane zaznaczenie o tej nazwie już istnieje
A saved selection: click to open Select > Load Selection, then choose it by name there	Zapisane zaznaczenie: kliknij, aby otworzyć Zaznacz > Wczytaj zaznaczenie, i wybierz je tam po nazwie
A slice needs a name	Plasterek musi mieć nazwę
AV1 (smaller, newer players)	AV1 (mniejszy, nowsze odtwarzacze)
About Raster Studio	O programie Raster Studio
Absolute Colorimetric	Absolutny kolorymetryczny
Action sets	Zestawy operacji
Actions	Operacje
Adaptive (median cut)	Adaptacyjna (median cut)
Add "copy" to copied layers	Dodaj „kopia” do skopiowanych warstw
Add Artboard Above	Dodaj obszar roboczy powyżej
Add Artboard Below	Dodaj obszar roboczy poniżej
Add Artboard Left	Dodaj obszar roboczy z lewej
Add Artboard Right	Dodaj obszar roboczy z prawej
Add Filter Mask	Dodaj maskę filtra
Add Media	Dodaj multimedia
Add Noise…	Dodaj szum…
Add a layer mask	Dodaj maskę warstwy
Add a smart filter mask	Dodaj maskę inteligentnego filtra
Add a video file (MP4: H.264 or AV1) as a video layer at the playhead; audio is not read	Dodaj plik wideo (MP4: H.264 lub AV1) jako warstwę wideo w miejscu głowicy; dźwięk nie jest wczytywany
Add an adjustment layer	Dodaj warstwę dopasowania
Add another instance of this effect	Dodaj kolejne wystąpienie tego efektu
Add current colour	Dodaj bieżący kolor
Add export	Dodaj eksport
Add frame	Dodaj klatkę
Add or remove room around the image. Pixels are not resampled.	Dodaj lub usuń miejsce wokół obrazu. Piksele nie są ponownie próbkowane.
Add shortcut	Dodaj skrót
Add to Selection	Dodaj do zaznaczenia
Adds one guide at a document coordinate, in pixels.	Dodaje jedną linię pomocniczą we współrzędnej dokumentu, w pikselach.
Adjustments	Dopasowania
Advanced	Zaawansowane
Again	Ponownie
Again with Copy	Ponownie z kopią
Aliased (pencil)	Bez wygładzania (ołówek)
Align	Wyrównaj
Align the bottom edge to the canvas	Wyrównaj dolną krawędź do płótna
Align the left edge to the canvas	Wyrównaj lewą krawędź do płótna
Align the right edge to the canvas	Wyrównaj prawą krawędź do płótna
Align the top edge to the canvas	Wyrównaj górną krawędź do płótna
Align with layer	Wyrównaj do warstwy
All	Wszystko
All Caps	Wersaliki
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	Wersaliki nadają każdej małej literze kształt wielkiej; Kapitaliki nadają jej kształt wielkiej litery w 70 % rozmiaru. Zapisany tekst zachowuje wpisaną wielkość liter.
All Layers	Wszystkie warstwy
Alpha	Alfa
Already used by	Już używane przez
Alt Tag	Znacznik Alt
Amount	Wartość
An export needs at least one output	Eksport wymaga co najmniej jednego wyjścia
An image or project from this computer	Obraz lub projekt z tego komputera
Angle	Kąt
Angle (degrees)	Kąt (stopnie)
Angle jitter	Rozrzut kąta
Animation	Animacja
Another slice already has this name	Inny plasterek ma już tę nazwę
Appearance	Wygląd
Applied	Zastosowana
Apply	Zastosuj
Apply Guides	Zastosuj linie pomocnicze
Apply Image	Zastosuj obraz
Apply Image…	Zastosuj obraz…
Apply Mask	Zastosuj maskę
Apply Style	Zastosuj styl
Apply Style 1	Zastosuj styl 1
Apply Style Preset…	Zastosuj ustawienie stylu…
Apply the next comp	Zastosuj następną kompozycję
Apply the previous comp	Zastosuj poprzednią kompozycję
Apply this mask	Zastosuj tę maskę
Approximate. The composited result is what the canvas shows.	Przybliżenie. Wynik złożenia to to, co pokazuje płótno.
Arbitrary…	Dowolnie…
Arc	Łuk
Arc Lower	Łuk dolny
Arc Upper	Łuk górny
Arch	Sklepienie
Arrange	Ułóż
Artboard	Obszar roboczy
Artboard from Layers	Obszar roboczy z warstw
Artboards in one document	Obszary robocze w jednym dokumencie
Artboards to Files…	Obszary robocze do plików…
Assign Profile	Przypisz profil
