# Raster Studio interface strings, pt-BR. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Português (Brasil)
 fps	 qps
 frames	 quadros
 ms	 ms
 px	 px
0 bytes	0 bytes
16 Bits/Channel	16 bits/canal
16 bit	16 bits
32 Bits/Channel	32 bits/canal
3D	3D
50% Grey	Cinza 50%
50% Threshold	Limiar de 50%
8 Bits/Channel	8 bits/canal
8 bit	8 bits
90° Clockwise	90° sentido horário
90° Counter Clockwise	90° sentido anti-horário
A CSV row has the wrong number of fields, at line	Uma linha do CSV tem o número errado de campos, na linha
A blank canvas at any size	Uma tela em branco de qualquer tamanho
A colour channel cannot be deleted	Um canal de cor não pode ser excluído
A layered raster editor	Um editor de imagens raster com camadas
A palette holds 2 to 256 colours	Uma paleta contém de 2 a 256 cores
A saved selection already has that name	Já existe uma seleção salva com esse nome
A saved selection: click to open Select > Load Selection, then choose it by name there	Uma seleção salva: clique para abrir Selecionar > Carregar seleção e escolha-a lá pelo nome
A slice needs a name	Uma fatia precisa de um nome
AV1 (smaller, newer players)	AV1 (menor, players mais novos)
About Raster Studio	Sobre o Raster Studio
Absolute Colorimetric	Colorimétrico absoluto
Action sets	Conjuntos de ações
Actions	Ações
Adaptive (median cut)	Adaptável (corte mediano)
Add "copy" to copied layers	Adicionar "cópia" às camadas copiadas
Add Artboard Above	Adicionar prancheta acima
Add Artboard Below	Adicionar prancheta abaixo
Add Artboard Left	Adicionar prancheta à esquerda
Add Artboard Right	Adicionar prancheta à direita
Add Filter Mask	Adicionar máscara de filtro
Add Media	Adicionar mídia
Add Noise…	Adicionar ruído…
Add a layer mask	Adicionar uma máscara de camada
Add a smart filter mask	Adicionar uma máscara de filtro inteligente
Place an image or video file (File > Place Embedded); a video becomes a video layer at the playhead	Inserir um arquivo de imagem ou vídeo (Arquivo > Inserir incorporado); um vídeo se torna uma camada de vídeo na agulha de reprodução
Add an adjustment layer	Adicionar uma camada de ajuste
Add another instance of this effect	Adicionar outra instância deste efeito
Add current colour	Adicionar a cor atual
Add export	Adicionar exportação
Add frame	Adicionar quadro
Add or remove room around the image. Pixels are not resampled.	Adiciona ou remove espaço ao redor da imagem. Os pixels não são reamostrados.
Add shortcut	Adicionar atalho
Add to Selection	Adicionar à seleção
Adds one guide at a document coordinate, in pixels.	Adiciona uma guia em uma coordenada do documento, em pixels.
Adjustment	Ajuste
Adjustments	Ajustes
Advanced	Avançado
Again	Novamente
Again with Copy	Novamente com cópia
Aliased (pencil)	Serrilhado (lápis)
Align	Alinhar
Align the bottom edge to the canvas	Alinhar a borda inferior à tela
Align the left edge to the canvas	Alinhar a borda esquerda à tela
Align the right edge to the canvas	Alinhar a borda direita à tela
Align the top edge to the canvas	Alinhar a borda superior à tela
Align with layer	Alinhar com a camada
All	Tudo
All Caps	Tudo em maiúsculas
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	Tudo em maiúsculas dá a cada minúscula a forma da sua maiúscula; Versalete dá a forma de maiúscula a 70 % do tamanho. O texto salvo mantém o que você digitou.
All Layers	Todas as camadas
Alpha	Alfa
Already used by	Já usado por
Alt Tag	Tag Alt
Amount	Quantidade
An export needs at least one output	Uma exportação precisa de pelo menos uma saída
An image or project from this computer	Uma imagem ou projeto deste computador
Angle	Ângulo
Angle (degrees)	Ângulo (graus)
Angle jitter	Variação de ângulo
Animation	Animação
Another slice already has this name	Outra fatia já tem esse nome
Appearance	Aparência
Applied	Aplicada
Apply	Aplicar
Apply Guides	Aplicar guias
Apply Image	Aplicar imagem
Apply Image…	Aplicar imagem…
Apply Mask	Aplicar máscara
Apply Style	Aplicar estilo
Apply Style 1	Aplicar estilo 1
Apply Style Preset…	Aplicar predefinição de estilo…
Apply the next comp	Aplicar a próxima composição
Apply the previous comp	Aplicar a composição anterior
Apply this mask	Aplicar esta máscara
Approximate. The composited result is what the canvas shows.	Aproximado. O resultado composto é o que a tela mostra.
Arbitrary…	Arbitrário…
Arc	Arco
Arc Lower	Arco inferior
Arc Upper	Arco superior
Arch	Arcada
Arrange	Organizar
Artboard	Prancheta
Artboard from Layers	Prancheta a partir de camadas
Artboards in one document	Pranchetas em um documento
Artboards to Files…	Pranchetas para arquivos…
Assign Profile	Atribuir perfil
Assigned {name}: the pixel numbers are unchanged, so the colours look different	{name} atribuído: os valores dos pixels não mudam, então as cores parecem diferentes
Author	Autor
Auto Color	Cor automática
Auto Contrast	Contraste automático
Auto Tone	Tom automático
Auto leading	Entrelinha automática
Auto-Align Layers…	Alinhar camadas automaticamente…
Auto-Blend Layers…	Mesclar camadas automaticamente…
Automate	Automatizar
Autosaves of never-saved documents go here; empty uses the default	Os salvamentos automáticos de documentos nunca salvos vão aqui; vazio usa o local padrão
Average	Média
BMP…	BMP…
Back to the colour this opened on	Voltar à cor com que abriu
Background — double-click for the picker	Fundo: clique duas vezes para o seletor
Based On	Baseado em
Baseline shift	Deslocamento da linha de base
Baseline to baseline. Auto leading follows the type size.	De linha de base a linha de base. A entrelinha automática acompanha o tamanho do texto.
Batch	Lote
Batch…	Lote…
Bend	Curvar
Bevel	Chanfro
Bevel & Emboss	Chanfro e entalhe
Bevel & Emboss…	Chanfro e entalhe…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	Vincule uma variável de substituição de texto a uma camada de texto, ou uma variável de visibilidade a qualquer camada.
Bitmap	Bitmap
Bitmap…	Bitmap…
Black	Preto
Black & White	Preto e branco
Black & White…	Preto e branco…
Black to Transparent	Preto para transparente
Black to White	Preto para branco
Black to white through the inks	De preto a branco pelas tintas
Blacks	Pretos
Blend If	Mesclar se
Blend Mode: Color	Modo de mesclagem: Cor
Blend Mode: Color Burn	Modo de mesclagem: Superexposição de cores
Blend Mode: Color Dodge	Modo de mesclagem: Subexposição de cores
