# Raster Studio interface strings, uk. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Українська
 fps	 кадр/с
 frames	 кадрів
 ms	 мс
 px	 пікс.
0 bytes	0 байтів
16 Bits/Channel	16 біт/канал
16 bit	16 біт
32 Bits/Channel	32 біт/канал
3D	3D
50% Grey	50% сірого
50% Threshold	Поріг 50%
8 Bits/Channel	8 біт/канал
8 bit	8 біт
90° Clockwise	90° за годинниковою
90° Counter Clockwise	90° проти годинникової
A CSV row has the wrong number of fields, at line	Рядок CSV має неправильну кількість полів, рядок
A blank canvas at any size	Порожнє полотно будь-якого розміру
A colour channel cannot be deleted	Колірний канал не можна видалити
A layered raster editor	Растровий редактор із шарами
A palette holds 2 to 256 colours	Палітра містить від 2 до 256 кольорів
A saved selection already has that name	Збережене виділення з такою назвою вже є
A saved selection: click to open Select > Load Selection, then choose it by name there	Збережене виділення: клацніть, щоб відкрити Виділення > Завантажити виділення, і виберіть його там за назвою
A slice needs a name	Фрагменту потрібна назва
AV1 (smaller, newer players)	AV1 (менший, новіші програвачі)
About Raster Studio	Про Raster Studio
Absolute Colorimetric	Абсолютний колориметричний
Action sets	Набори операцій
Actions	Операції
Adaptive (median cut)	Адаптивна (медіанний переріз)
Add "copy" to copied layers	Додавати «копія» до скопійованих шарів
Add Artboard Above	Додати монтажну область зверху
Add Artboard Below	Додати монтажну область знизу
Add Artboard Left	Додати монтажну область ліворуч
Add Artboard Right	Додати монтажну область праворуч
Add Filter Mask	Додати маску фільтра
Add Media	Додати медіафайл
Add Noise…	Додати шум…
Add a layer mask	Додати шар-маску
Add a smart filter mask	Додати маску смарт-фільтра
Add a video file (MP4: H.264 or AV1) as a video layer at the playhead; audio is not read	Додати відеофайл (MP4: H.264 або AV1) як відеошар у позиції відтворення; звук не читається
Add an adjustment layer	Додати коригувальний шар
Add another instance of this effect	Додати ще один екземпляр цього ефекту
Add current colour	Додати поточний колір
Add export	Додати експорт
Add frame	Додати кадр
Add or remove room around the image. Pixels are not resampled.	Додає або прибирає місце навколо зображення. Пікселі не перераховуються.
Add shortcut	Додати сполучення клавіш
Add to Selection	Додати до виділення
Adds one guide at a document coordinate, in pixels.	Додає одну напрямну в координаті документа, у пікселях.
Adjustments	Корекція
Advanced	Додатково
Again	Повторити
Again with Copy	Повторити з копією
Aliased (pencil)	Без згладжування (олівець)
Align	Вирівняти
Align the bottom edge to the canvas	Вирівняти нижній край за полотном
Align the left edge to the canvas	Вирівняти лівий край за полотном
Align the right edge to the canvas	Вирівняти правий край за полотном
Align the top edge to the canvas	Вирівняти верхній край за полотном
Align with layer	Вирівняти за шаром
All	Усе
All Caps	Усі великі
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	«Усі великі» малює кожну малу літеру як велику; «Капітель» — як велику розміром 70 %. Збережений текст зберігає введений регістр.
All Layers	Усі шари
Alpha	Альфа
Already used by	Уже використовується:
Alt Tag	Тег Alt
Amount	Ефект
An export needs at least one output	Експорту потрібен принаймні один вивід
An image or project from this computer	Зображення або проєкт із цього комп'ютера
Angle	Кут
Angle (degrees)	Кут (градуси)
Angle jitter	Коливання кута
Animation	Анімація
Another slice already has this name	Інший фрагмент уже має цю назву
Appearance	Оформлення
Applied	Застосована
Apply	Застосувати
Apply Guides	Застосувати напрямні
Apply Image	Зовнішній канал
Apply Image…	Зовнішній канал…
Apply Mask	Застосувати маску
Apply Style	Застосувати стиль
Apply Style 1	Застосувати стиль 1
Apply Style Preset…	Застосувати набір стилів…
Apply the next comp	Застосувати наступну композицію
Apply the previous comp	Застосувати попередню композицію
Apply this mask	Застосувати цю маску
Approximate. The composited result is what the canvas shows.	Приблизно. Поєднаний результат — це те, що показує полотно.
Arbitrary…	Довільно…
Arc	Дуга
Arc Lower	Дуга знизу
Arc Upper	Дуга зверху
Arch	Арка
Arrange	Упорядкувати
Artboard	Монтажна область
Artboard from Layers	Монтажна область із шарів
Artboards in one document	Монтажні області в одному документі
Artboards to Files…	Монтажні області у файли…
Assign Profile	Призначити профіль
Assigned {name}: the pixel numbers are unchanged, so the colours look different	Призначено {name}: значення пікселів не змінилися, тому кольори виглядають інакше
Author	Автор
Auto Color	Автоматична корекція кольору
Auto Contrast	Автоконтраст
Auto Tone	Автотон
Auto leading	Автоматичний інтерліньяж
Auto-Align Layers…	Автоматично вирівняти шари…
Auto-Blend Layers…	Автоматично змішати шари…
Automate	Автоматизація
Autosaves of never-saved documents go here; empty uses the default	Сюди потрапляють автозбереження ніколи не збережених документів; порожньо — тека за замовчуванням
Average	Середнє
BMP…	BMP…
Back to the colour this opened on	Повернутися до кольору, з яким відкрилося
Background — double-click for the picker	Тло — двічі клацніть, щоб відкрити палітру
Based On	На основі
Baseline shift	Зсув базової лінії
Baseline to baseline. Auto leading follows the type size.	Від базової лінії до базової лінії. Автоінтерліньяж іде за розміром шрифту.
Batch	Пакетна обробка
Batch…	Пакетна обробка…
Bend	Вигин
Bevel	Скіс
Bevel & Emboss	Тиснення
Bevel & Emboss…	Тиснення…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	Прив'яжіть змінну заміни тексту до текстового шару або змінну видимості до будь-якого шару.
Bitmap	Бітовий формат
Bitmap…	Бітовий формат…
Black	Чорний
Black & White	Чорно-біле
Black & White…	Чорно-біле…
Black to Transparent	Від чорного до прозорого
Black to White	Від чорного до білого
Black to white through the inks	Від чорного до білого через фарби
Blacks	Чорні
Blend If	Накладати, якщо
Blend Mode: Color	Режим накладання: Колір
Blend Mode: Color Burn	Режим накладання: Затемнення основи
Blend Mode: Color Dodge	Режим накладання: Освітлення основи
Blend Mode: Darken	Режим накладання: Заміна темним
Blend Mode: Difference	Режим накладання: Різниця
Blend Mode: Dissolve	Режим накладання: Розчинення
Blend Mode: Exclusion	Режим накладання: Виключення
Blend Mode: Hard Light	Режим накладання: Жорстке світло
Blend Mode: Hard Mix	Режим накладання: Жорстке змішування
Blend Mode: Hue	Режим накладання: Колірний тон
Blend Mode: Lighten	Режим накладання: Заміна світлим
Blend Mode: Linear Burn	Режим накладання: Лінійний затемнювач
Blend Mode: Linear Dodge (Add)	Режим накладання: Лінійний освітлювач (додати)
Blend Mode: Linear Light	Режим накладання: Лінійне світло
Blend Mode: Luminosity	Режим накладання: Яскравість
Blend Mode: Multiply	Режим накладання: Множення
Blend Mode: Normal	Режим накладання: Звичайний
Blend Mode: Overlay	Режим накладання: Перекриття
Blend Mode: Pin Light	Режим накладання: Точкове світло
Blend Mode: Saturation	Режим накладання: Насиченість
Blend Mode: Screen	Режим накладання: Екран
Blend Mode: Soft Light	Режим накладання: М'яке світло
Blend Mode: Vivid Light	Режим накладання: Яскраве світло
Blending	Накладання
Blending Options	Параметри накладання
Blending Options…	Параметри накладання…
Blending options	Параметри накладання
Blends a source document, layer or channel into the active layer as one step.	Змішує вихідний документ, шар або канал з активним шаром за один крок.
Blends one channel of each of two sources into a new channel, a selection or a new document.	Змішує по одному каналу з двох джерел у новий канал, виділення або новий документ.
Blue	Синій
Blues	Сині
Blur	Розмиття
Blur Gallery	Галерея розмиття
Blur More	Сильніше розмиття
Bold	Жирний
Border Selection	Виділення межі
Border…	Межа…
Both axes	Обидві осі
Bottom	Низ
Bottom Edges	Нижні краї
Bottom Left	Знизу ліворуч
Bottom Right	Знизу праворуч
Bottom Right Pixel Color	Колір нижнього правого пікселя
Bottom left	Знизу ліворуч
Bottom right	Знизу праворуч
Box Blur…	Розмиття рамкою…
Box height	Висота рамки
Brightness	Яскравість
Brightness jitter	Коливання яскравості
Brightness/Contrast	Яскравість/Контраст
Brightness/Contrast…	Яскравість/Контраст…
Bring Forward	Перемістити вперед
Bring to Front	На передній план
Brush Editor	Редактор пензлів
Brush: Background	Пензель: тло
Brush: Foreground	Пензель: основний колір
Brushes	Пензлі
Bulge	Опуклість
Butt	Зріз
CMYK Color	Кольори CMYK
Calculations	Обчислення
Calculations…	Обчислення…
Camera Raw…	Camera Raw…
Canvas Size	Розмір полотна
Canvas Size…	Розмір полотна…
Canvas extension	Розширення полотна
Caps	Регістр
Carries the XMP; the source's EXIF goes into JPEG only	Містить XMP; EXIF джерела потрапляє лише в JPEG
Cell size (pixels)	Розмір комірки (пікселі)
Center	По центру
Center horizontally on the canvas	По центру полотна по горизонталі
Center vertically on the canvas	По центру полотна по вертикалі
Centimeters	Сантиметри
Centre	Центр
Centre the view on this note	Центрувати вигляд на цій нотатці
Change Bit Depth	Змінити бітову глибину
Change Colour Mode	Змінити колірний режим
Change Layer Properties	Змінити властивості шару
Change how many pixels the document has, or how large it prints.	Змініть кількість пікселів документа або його розмір під час друку.
Channel	Канал
Channel Mixer	Змішування каналів
Channel Mixer…	Змішування каналів…
Channel thumbnail	Мініатюра каналу
Channels	Канали
Character	Символ
Character Style	Стиль символів
Character Styles	Стилі символів
Checkerboard	Шахова дошка
Choose 2 to 256 colours	Виберіть від 2 до 256 кольорів
Choose a colour profile	Виберіть колірний профіль
Choose a destination folder	Виберіть теку призначення
Choose a source folder	Виберіть вихідну теку
Choose at least one page to open	Виберіть принаймні одну сторінку для відкриття
Choose at least one side to trim	Виберіть принаймні один бік для обрізання
Choose the Action to play	Виберіть операцію для відтворення
Choose the open grayscale document each channel of the new RGB document comes from.	Виберіть відкритий документ у градаціях сірого, з якого береться кожен канал нового документа RGB.
Choose the pages to open, their resolution and how they open.	Виберіть сторінки для відкриття, їхню роздільність і спосіб відкриття.
Choose the source and the destination folders.	Виберіть вихідну теку й теку призначення.
Choose…	Вибрати…
Clear	Очистити
Clear All	Очистити все
Clear Guides	Видалити напрямні
Clear History	Очистити історію
Clear Layer Style	Очистити стиль шару
Clear Slices	Видалити фрагменти
Clear Strokes	Очистити штрихи
Clear existing guides	Видалити наявні напрямні
Clear the {noun} from the active text layer	Прибрати {noun} з активного текстового шару
Cleared {n} slice(s)	Видалено фрагментів: {n}
Click an item in the panel first	Спершу клацніть елемент на панелі
Click anywhere to sample a colour	Клацніть будь-де, щоб узяти зразок кольору
Click anywhere to sample a colour, or press Escape.	Клацніть будь-де, щоб узяти зразок кольору, або натисніть Esc.
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	Клацніть графік, щоб додати точку; перетягніть точку, щоб вигнути криву; витягніть її за межі графіка, щоб видалити
Click the preview to sample a colour from it	Клацніть попередній перегляд, щоб узяти з нього зразок кольору
Click the preview to sample the colour to replace	Клацніть попередній перегляд, щоб узяти зразок кольору для заміни
Click the ramp to edit its stops.	Клацніть шкалу, щоб змінити її контрольні точки.
Clip to layer below	Обтравити за нижнім шаром
Clipboard	Буфер обміну
Clipping	Обтравлювальна маска
Close	Закрити
Close All	Закрити все
Close Alpha Channel	Закрити альфа-канал
Close Others	Закрити інші
Close panel	Закрити панель
Clouds	Хмари
Codec	Кодек
Color	Колір
Color Balance	Колірний баланс
Color Balance…	Колірний баланс…
Color Burn	Затемнення основи
Color Dodge	Освітлення основи
Color Dynamics	Динаміка кольору
Color Halftone…	Кольорові півтони…
Color Intensity	Інтенсивність кольору
Color Label	Колірна мітка
Color Lookup	Пошук кольору
Color Lookup Tables…	Таблиці пошуку кольору…
Color Lookup…	Пошук кольору…
Color Overlay	Накладання кольору
Color Overlay…	Накладання кольору…
Color Picker	Палітра кольорів
Color Range	Колірний діапазон
Color Range…	Колірний діапазон…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	Очищення кольорової облямівки: наближає колір крайових пікселів до сусідньої внутрішньої фарби — окреме редагування, не уточнення маски.
Color to Alpha…	Колір в альфу…
Colors	Кольори
Colour	Колір
Colour varies once per stroke.	Колір змінюється раз за штрих.
Colours	Кольори
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	Кольорів має бути від 1 до 64, допуск більший за 0, а довжина кута не менша за 1
Columns	Стовпці
Columns and rows with gutters between them, inside optional margins, in pixels.	Стовпці й рядки з проміжками між ними, усередині необов'язкових полів, у пікселях.
Combine Shapes	Об'єднати фігури
Commit (Enter)	Застосувати (Enter)
Commit Contents	Застосувати вміст
Composite	Поєднаний
Condensed	Вузький
Cone	Конус
Constant	Сталий
Constrain proportions	Зберігати пропорції
Content-Aware	З урахуванням вмісту
Content-Aware Scale	Масштаб з урахуванням вмісту
Contour	Контур
Contract Selection	Стиснути виділення
Contract by	Стиснути на
Contract…	Стиснути…
Contrast	Контраст
Conversion Options	Параметри перетворення
Convert Formats	Перетворити формати
Convert Formats…	Перетворити формати…
Convert for Smart Filters	Перетворити для смарт-фільтрів
Convert to Layers	Перетворити на шари
Convert to Linked…	Перетворити на зв'язаний…
Convert to Paragraph Text	Перетворити на абзацний текст
Convert to Point Text	Перетворити на рядковий текст
Convert to Profile	Перетворити на профіль
Convert to Profile works on 8- and 16-bit documents	Перетворення на профіль працює з 8- і 16-бітними документами
Convert to Profile…	Перетворити на профіль…
Convert to Shape	Перетворити на фігуру
Convert to Smart Object	Перетворити на смарт-об'єкт
Converted to {name} ({intent}): the numbers changed so the colours look the same	Перетворено на {name} ({intent}): значення змінилися, щоб кольори виглядали так само
Cool	Холодний
Copper	Мідь
Copy	Копіювати
Copy Layer Style	Скопіювати стиль шару
Copy Merged	Скопіювати поєднані дані
Copyright Notice	Повідомлення про авторські права
Corner length	Довжина кута
Corner radius	Радіус кута
Corner radius applies to rectangles; this path has no corners to round	Радіус кута застосовується до прямокутників; цей контур не має кутів для заокруглення
Corners	Кути
Count jitter	Коливання кількості
Create Clipping Mask	Створити обтравлювальну маску
Create Layer	Створити шар
Create Layers	Створити шари
Crop	Кадрувати
Crop and Straighten Photos	Кадрувати й вирівняти фотографії
Crops the canvas to the content, judged by the basis below.	Обрізає полотно за вмістом, за основою нижче.
Crystallize…	Кристалізація…
Current Layer	Поточний шар
Current Path	Поточний контур
Curve tolerance	Допуск кривої
Curves	Криві
Curves…	Криві…
Custom	Власний
Custom Brush	Власний пензель
Custom: with the Move tool, drag the 16 mesh handles on the canvas	Власний: інструментом «Переміщення» перетягніть 16 маркерів сітки на полотні
Custom…	Власний…
Cut	Вирізати
Cyan	Блакитний
Cyan / Red	Блакитний / Червоний
Cyans	Блакитні
DDS…	DDS…
DXF…	DXF…
Dark	Темна
Dark Blue	Темно-синя
Dark Grey	Темно-сіра
Darken	Заміна темним
Darker Color	Темніше
Dash	Штрих
Data Set	Набір даних
Data Sets	Набори даних
Data Sets…	Набори даних…
Default	За замовчуванням
Default colours  (D)	Кольори за замовчуванням  (D)
Default colours (D)	Кольори за замовчуванням (D)
Define	Визначити
Define Brush Preset…	Визначити набір пензлів…
Define Custom Shape…	Визначити власну фігуру…
Define New	Визначити новий
Define Pattern…	Визначити візерунок…
Define…	Визначити…
Delete	Видалити
Delete Filter Mask	Видалити маску фільтра
Delete Layer	Видалити шар
Delete Mask	Видалити маску
Delete Vector Mask	Видалити векторну маску
Delete action	Видалити операцію
Delete channel	Видалити канал
Delete frame	Видалити кадр
Delete path	Видалити контур
Delete selected layers	Видалити вибрані шари
Delete set and its actions	Видалити набір і його операції
Delete stop	Видалити точку
Delete the applied comp	Видалити застосовану композицію
Delete the selected keyframe	Видалити вибраний ключовий кадр
Delete the selected tool preset	Видалити вибраний набір параметрів інструмента
Delete the selected {noun}	Видалити вибране: {noun}
Delete the smart filter mask	Видалити маску смарт-фільтра
Delete this note	Видалити цю нотатку
Delete this smart filter	Видалити цей смарт-фільтр
Delete this spot channel	Видалити цей канал плашкового кольору
Density	Щільність
Dents…	Вм'ятини…
Desaturate	Знебарвити
Description	Опис
Deselect	Скасувати виділення
Deselect Layers	Скасувати виділення шарів
Despeckle	Ретуш
Destination	Призначення
Destination Space	Цільовий простір
Detail	Деталі
Detail scales	Масштаби деталей
Diamond	Ромб
Difference	Різниця
Difference Clouds	Хмари з накладанням
Diffuse…	Дифузія…
Diffusion	Дифузія
Diffusion Dither	Дифузний дизеринг
Disable / Enable Filter Mask	Вимкнути / увімкнути маску фільтра
Disable / Enable Mask	Вимкнути / увімкнути маску
Disable / Enable Vector Mask	Вимкнути / увімкнути векторну маску
Disable Mask	Вимкнути маску
Disable Vector Mask	Вимкнути векторну маску
Displace…	Зміщення…
Dissolve	Розчинення
Distance	Відстань
Distort	Викривлення
Distribute	Розподілити
Dither	Дизеринг
Dither…	Дизеринг…
Divide	Ділення
Dock this panel here	Закріпити цю панель тут
Document	Документ
Document Bounds	Межі документа
Document Info	Відомості про документ
Document Title	Заголовок документа
Document size	Розмір документа
Double-click to edit in Layer Style; drag to the trash to delete	Двічі клацніть, щоб змінити в «Стилі шару»; перетягніть у кошик, щоб видалити
Double-click to edit this filter's settings	Двічі клацніть, щоб змінити параметри цього фільтра
Double-click to rename	Двічі клацніть, щоб перейменувати
Drag a line with the Ruler first	Спершу проведіть лінію лінійкою
Drag to zoom the view	Перетягніть, щоб масштабувати вигляд
Drop Shadow	Тінь
Drop Shadow…	Тінь…
Duotone	Дуплекс
Duotone Options	Параметри дуплексу
Duotone…	Дуплекс…
Duplicate	Дублювати
Duplicate Layer	Дублювати шар
Duplicate Layer…	Дублювати шар…
Duplicate frame	Дублювати кадр
Dust & Scratches…	Пил і подряпини…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	Запис EXIF і XMP не реалізовано — вбудовується лише ICC
EXR…	EXR…
Ease In	Плавний вхід
Ease Out	Плавний вихід
Edge Glow	Світіння країв
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	Уточнення країв: розтушовування, зсув, згладжування й контраст поверх наявного покриття маски — без розпізнавання об'єкта.
Edges	Краї
Edit	Редагування
Edit Adjustment	Змінити корекцію
Edit Adjustment…	Змінити корекцію…
Edit Alpha Channel	Змінити альфа-канал
Edit Contents…	Редагувати вміст…
Edit Document Records	Змінити записи документа
Edit Fill	Змінити заливку
Edit Filter Mask	Змінити маску фільтра
Edit Generator	Змінити генератор
Edit Group	Змінити групу
Edit Guides	Змінити напрямні
Edit Raster	Змінити растровий шар
Edit Saved Selection	Змінити збережене виділення
Edit Shape	Змінити фігуру
Edit Slices	Змінити фрагменти
Edit Smart object	Змінити смарт-об'єкт
Edit Text	Змінити текст
Edit Timeline	Змінити шкалу часу
Edit brush…	Змінити пензель…
Edit fill	Змінити заливку
Edit gradient stops — click to open the editor	Змінити контрольні точки градієнта — клацніть, щоб відкрити редактор
Edit in Quick Mask Mode	Редагувати в режимі швидкої маски
Edit this ramp	Змінити цю шкалу
Effects	Ефекти
Effects apply to the whole layer and undo as one step.	Ефекти застосовуються до всього шару й скасовуються одним кроком.
Embed EXIF and XMP	Вбудувати EXIF і XMP
Embed Linked	Вбудувати зв'язаний
Embed colour profile	Вбудувати колірний профіль
Embedded source	Вбудоване джерело
Emboss…	Тиснення…
Enable / disable the smart filter mask	Увімкнути / вимкнути маску смарт-фільтра
Enable Mask	Увімкнути маску
Enable Vector Mask	Увімкнути векторну маску
Enable at least one export	Увімкніть принаймні один експорт
Enabled	Увімкнено
Enlarge smaller images	Збільшувати менші зображення
Enter a colour like #3366CC	Введіть колір, наприклад #3366CC
Entropy	Ентропія
Equalize	Вирівняти яскравість
Essentials	Основне робоче середовище
Every enabled row is written when you export.	Під час експорту записується кожен увімкнений рядок.
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	Кожне зображення з вихідної теки вписується в рамку й записується в теку призначення у власному форматі.
Every parameter is at its neutral value — there is nothing to clean	Усі параметри мають нейтральне значення — очищати нічого
Every parameter is at its neutral value — there is nothing to refine	Усі параметри мають нейтральне значення — уточнювати нічого
Every variable needs a name	Кожній змінній потрібна назва
Exact	Точно
Exclude Overlapping Shapes	Виключити фігури, що перекриваються
Exclusion	Виключення
Expand Selection	Розширити виділення
Expand by	Розширити на
Expand the dock	Розгорнути док
Expanded	Широкий
Expand…	Розширити…
Export	Експорт
Export As	Експортувати як
Export Color Lookup	Експорт пошуку кольору
Export Contents…	Експортувати вміст…
Export Diagnostics…	Експорт діагностики…
Export Layers…	Експортувати шари…
Export PDF	Експорт PDF
Export as .ABR…	Експортувати як .ABR…
Export as .ACO…	Експортувати як .ACO…
Export as .ASL…	Експортувати як .ASL…
Export set as .atn	Експортувати набір як .atn
Export…	Експорт…
Exposure	Експозиція
Exposure…	Експозиція…
Extra Bold	Наджирний
Extra Condensed	Надвузький
Extra Expanded	Надширокий
Extra Light	Надсвітлий
Extras	Допоміжні елементи
Extrude…	Екструзія…
Eyedropper	Піпетка
Face	Накреслення
Facet	Фасет
Fade	Послабити
Fade…	Послабити…
Family	Гарнітура
Feather	Розтушовування
Feather Selection	Розтушувати виділення
Feather radius	Радіус розтушовування
Feather…	Розтушовування…
Fibers…	Волокна…
Field Blur…	Розмиття поля…
File	Файл
File Info	Відомості про файл
File Info…	Відомості про файл…
File name	Ім'я файлу
Files that fail are listed in batch-errors.txt in the destination.	Файли з помилками перелічено в batch-errors.txt у теці призначення.
Fill	Заливка
Fill Filter Mask	Залити маску фільтра
Fill Mask	Залити маску
