# Raster Studio interface strings, fr. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Français
 fps	 i/s
 frames	 images
 ms	 ms
 px	 px
0 bytes	0 octet
16 Bits/Channel	16 bits/couche
16 bit	16 bits
32 Bits/Channel	32 bits/couche
3D	3D
50% Grey	Gris 50 %
50% Threshold	Seuil 50 %
8 Bits/Channel	8 bits/couche
8 bit	8 bits
90° Clockwise	90° horaire
90° Counter Clockwise	90° antihoraire
A CSV row has the wrong number of fields, at line	Une ligne CSV n’a pas le bon nombre de champs, à la ligne
A blank canvas at any size	Une zone de travail vierge de n’importe quelle taille
A colour channel cannot be deleted	Une couche de couleur ne peut pas être supprimée
A layered raster editor	Un éditeur d’images matricielles à calques
A palette holds 2 to 256 colours	Une palette contient de 2 à 256 couleurs
A saved selection already has that name	Une sélection enregistrée porte déjà ce nom
A saved selection: click to open Select > Load Selection, then choose it by name there	Une sélection enregistrée : cliquez pour ouvrir Sélection > Récupérer la sélection, puis choisissez-la par son nom
A slice needs a name	Une tranche doit avoir un nom
AV1 (smaller, newer players)	AV1 (plus léger, lecteurs récents)
About Raster Studio	À propos de Raster Studio
Absolute Colorimetric	Colorimétrie absolue
Action sets	Ensembles de scripts
Actions	Scripts
Adaptive (median cut)	Adaptative (coupe médiane)
Add "copy" to copied layers	Ajouter « copie » aux calques copiés
Add Artboard Above	Ajouter un plan de travail au-dessus
Add Artboard Below	Ajouter un plan de travail en dessous
Add Artboard Left	Ajouter un plan de travail à gauche
Add Artboard Right	Ajouter un plan de travail à droite
Add Filter Mask	Ajouter un masque de filtre
Add Media	Ajouter un média
Add Noise…	Ajout de bruit…
Add a layer mask	Ajouter un masque de fusion
Add a smart filter mask	Ajouter un masque de filtre dynamique
Place an image or video file (File > Place Embedded); a video becomes a video layer at the playhead	Importer un fichier image ou vidéo (Fichier > Importer incorporé) ; une vidéo devient un calque vidéo à la tête de lecture
Add an adjustment layer	Ajouter un calque de réglage
Add another instance of this effect	Ajouter une autre instance de cet effet
Add current colour	Ajouter la couleur actuelle
Add export	Ajouter un export
Add frame	Ajouter une image
Add or remove room around the image. Pixels are not resampled.	Ajoute ou retire de l’espace autour de l’image. Les pixels ne sont pas rééchantillonnés.
Add shortcut	Ajouter un raccourci
Add to Selection	Ajouter à la sélection
Adds one guide at a document coordinate, in pixels.	Ajoute un repère à une coordonnée du document, en pixels.
Adjustment	Réglage
Adjustments	Réglages
Advanced	Avancé
Again	Répéter
Again with Copy	Répéter avec copie
Aliased (pencil)	Crénelé (crayon)
Align	Aligner
Align the bottom edge to the canvas	Aligner le bord inférieur sur la zone de travail
Align the left edge to the canvas	Aligner le bord gauche sur la zone de travail
Align the right edge to the canvas	Aligner le bord droit sur la zone de travail
Align the top edge to the canvas	Aligner le bord supérieur sur la zone de travail
Align with layer	Aligner sur le calque
All	Tout
All Caps	Tout en capitales
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	Tout en capitales donne à chaque minuscule la forme de sa capitale ; Petites capitales lui donne une capitale à 70 % de la taille. Le texte enregistré garde la casse saisie.
All Layers	Tous les calques
Alpha	Alpha
Already used by	Déjà utilisé par
Alt Tag	Balise Alt
Amount	Quantité
An export needs at least one output	Un export doit avoir au moins une sortie
An image or project from this computer	Une image ou un projet de cet ordinateur
Angle	Angle
Angle (degrees)	Angle (degrés)
Angle jitter	Variation d’angle
Animation	Animation
Another slice already has this name	Une autre tranche porte déjà ce nom
Appearance	Apparence
Applied	Appliquée
Apply	Appliquer
Apply Guides	Appliquer les repères
Apply Image	Appliquer une image
Apply Image…	Appliquer une image…
Apply Mask	Appliquer le masque
Apply Style	Appliquer le style
Apply Style 1	Appliquer le style 1
Apply Style Preset…	Appliquer un style prédéfini…
Apply the next comp	Appliquer la composition suivante
Apply the previous comp	Appliquer la composition précédente
Apply this mask	Appliquer ce masque
Approximate. The composited result is what the canvas shows.	Approximatif. Le résultat composé est ce qu’affiche la zone de travail.
Arbitrary…	Arbitraire…
Arc	Arc
Arc Lower	Arc inférieur
Arc Upper	Arc supérieur
Arch	Arche
Arrange	Disposition
Artboard	Plan de travail
Artboard from Layers	Plan de travail à partir des calques
Artboards in one document	Plans de travail dans un document
Artboards to Files…	Plans de travail vers fichiers…
Assign Profile	Attribuer un profil
Assigned {name}: the pixel numbers are unchanged, so the colours look different	{name} attribué : les valeurs des pixels sont inchangées, les couleurs paraissent donc différentes
Author	Auteur
Auto Color	Couleur automatique
Auto Contrast	Contraste automatique
Auto Tone	Tons automatiques
Auto leading	Interlignage automatique
Auto-Align Layers…	Alignement automatique des calques…
Auto-Blend Layers…	Fusion automatique des calques…
Automate	Automatisation
Autosaves of never-saved documents go here; empty uses the default	Les enregistrements automatiques des documents jamais enregistrés vont ici ; vide utilise l’emplacement par défaut
Average	Moyenne
BMP…	BMP…
Back to the colour this opened on	Revenir à la couleur d’ouverture
Background — double-click for the picker	Arrière-plan : double-cliquez pour ouvrir le sélecteur
Based On	Basé sur
Baseline shift	Décalage vertical
Baseline to baseline. Auto leading follows the type size.	De ligne de base à ligne de base. L’interlignage automatique suit le corps du texte.
Batch	Traitement par lots
Batch…	Traitement par lots…
Bend	Inflexion
Bevel	Biseau
Bevel & Emboss	Biseautage et estampage
Bevel & Emboss…	Biseautage et estampage…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	Liez une variable de remplacement de texte à un calque de texte, ou une variable de visibilité à n’importe quel calque.
Bitmap	Bitmap
Bitmap…	Bitmap…
Black	Noir
Black & White	Noir et blanc
Black & White…	Noir et blanc…
Black to Transparent	Noir à transparent
Black to White	Noir à blanc
Black to white through the inks	Du noir au blanc en passant par les encres
Blacks	Noirs
Blend If	Si fusion
Blend Mode: Color	Mode de fusion : Couleur
Blend Mode: Color Burn	Mode de fusion : Densité couleur +
Blend Mode: Color Dodge	Mode de fusion : Densité couleur -
Blend Mode: Darken	Mode de fusion : Obscurcir
Blend Mode: Difference	Mode de fusion : Différence
Blend Mode: Dissolve	Mode de fusion : Fondu
Blend Mode: Exclusion	Mode de fusion : Exclusion
Blend Mode: Hard Light	Mode de fusion : Lumière crue
Blend Mode: Hard Mix	Mode de fusion : Mélange maximal
Blend Mode: Hue	Mode de fusion : Teinte
Blend Mode: Lighten	Mode de fusion : Éclaircir
Blend Mode: Linear Burn	Mode de fusion : Densité linéaire +
Blend Mode: Linear Dodge (Add)	Mode de fusion : Densité linéaire - (Ajout)
Blend Mode: Linear Light	Mode de fusion : Lumière linéaire
Blend Mode: Luminosity	Mode de fusion : Luminosité
Blend Mode: Multiply	Mode de fusion : Produit
