# Raster Studio interface strings, ru. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Русский
 fps	 кадр/с
 frames	 кадров
 ms	 мс
 px	 пикс.
0 bytes	0 байт
16 Bits/Channel	16 бит/канал
16 bit	16 бит
32 Bits/Channel	32 бит/канал
3D	3D
50% Grey	50% серого
50% Threshold	Порог 50%
8 Bits/Channel	8 бит/канал
8 bit	8 бит
90° Clockwise	90° по часовой
90° Counter Clockwise	90° против часовой
A CSV row has the wrong number of fields, at line	В строке CSV неверное число полей, строка
A blank canvas at any size	Пустой холст любого размера
A colour channel cannot be deleted	Цветовой канал нельзя удалить
A layered raster editor	Растровый редактор со слоями
A palette holds 2 to 256 colours	Палитра содержит от 2 до 256 цветов
A saved selection already has that name	Сохранённое выделение с таким именем уже есть
A saved selection: click to open Select > Load Selection, then choose it by name there	Сохранённое выделение: нажмите, чтобы открыть Выделение > Загрузить выделение, и выберите его там по имени
A slice needs a name	Фрагменту нужно имя
AV1 (smaller, newer players)	AV1 (меньше, новые плееры)
About Raster Studio	О программе Raster Studio
Absolute Colorimetric	Абсолютный колориметрический
Action sets	Наборы операций
Actions	Операции
Adaptive (median cut)	Адаптивная (медианное сечение)
Add "copy" to copied layers	Добавлять «копия» к скопированным слоям
Add Artboard Above	Добавить монтажную область сверху
Add Artboard Below	Добавить монтажную область снизу
Add Artboard Left	Добавить монтажную область слева
Add Artboard Right	Добавить монтажную область справа
Add Filter Mask	Добавить маску фильтра
Add Media	Добавить медиафайл
Add Noise…	Добавить шум…
Add a layer mask	Добавить слой-маску
Add a smart filter mask	Добавить маску смарт-фильтра
Add a video file (MP4: H.264 or AV1) as a video layer at the playhead; audio is not read	Добавить видеофайл (MP4: H.264 или AV1) как видеослой в позиции воспроизведения; звук не читается
Add an adjustment layer	Добавить корректирующий слой
Add another instance of this effect	Добавить ещё один экземпляр этого эффекта
Add current colour	Добавить текущий цвет
Add export	Добавить экспорт
Add frame	Добавить кадр
Add or remove room around the image. Pixels are not resampled.	Добавляет или убирает место вокруг изображения. Пиксели не пересчитываются.
Add shortcut	Добавить сочетание клавиш
Add to Selection	Добавить к выделенной области
Adds one guide at a document coordinate, in pixels.	Добавляет одну направляющую в координате документа, в пикселях.
Adjustments	Коррекция
Advanced	Дополнительно
Again	Повторить
Again with Copy	Повторить с копией
Aliased (pencil)	Без сглаживания (карандаш)
Align	Выровнять
Align the bottom edge to the canvas	Выровнять нижний край по холсту
Align the left edge to the canvas	Выровнять левый край по холсту
Align the right edge to the canvas	Выровнять правый край по холсту
Align the top edge to the canvas	Выровнять верхний край по холсту
Align with layer	Выровнять по слою
All	Все
All Caps	Все прописные
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	«Все прописные» рисует каждую строчную букву как прописную; «Капитель» — как прописную размером 70 %. Сохранённый текст сохраняет введённый регистр.
All Layers	Все слои
Alpha	Альфа
Already used by	Уже используется:
Alt Tag	Тег Alt
Amount	Эффект
An export needs at least one output	Экспорту нужен хотя бы один вывод
An image or project from this computer	Изображение или проект с этого компьютера
Angle	Угол
Angle (degrees)	Угол (градусы)
Angle jitter	Колебание угла
Animation	Анимация
Another slice already has this name	Другой фрагмент уже носит это имя
Appearance	Оформление
Applied	Применена
Apply	Применить
Apply Guides	Применить направляющие
Apply Image	Внешний канал
Apply Image…	Внешний канал…
Apply Mask	Применить маску
Apply Style	Применить стиль
Apply Style 1	Применить стиль 1
Apply Style Preset…	Применить набор стилей…
Apply the next comp	Применить следующую композицию
Apply the previous comp	Применить предыдущую композицию
Apply this mask	Применить эту маску
Approximate. The composited result is what the canvas shows.	Приблизительно. Совмещённый результат — то, что показывает холст.
Arbitrary…	Произвольно…
Arc	Дуга
Arc Lower	Дуга снизу
Arc Upper	Дуга сверху
Arch	Арка
Arrange	Упорядочить
Artboard	Монтажная область
Artboard from Layers	Монтажная область из слоёв
Artboards in one document	Монтажные области в одном документе
Artboards to Files…	Монтажные области в файлы…
Assign Profile	Назначить профиль
Assigned {name}: the pixel numbers are unchanged, so the colours look different	Назначен {name}: значения пикселей не изменились, поэтому цвета выглядят иначе
Author	Автор
Auto Color	Автоматическая цветовая коррекция
Auto Contrast	Автоконтраст
Auto Tone	Автотон
Auto leading	Авто интерлиньяж
Auto-Align Layers…	Автоматически выравнивать слои…
Auto-Blend Layers…	Автоналожение слоёв…
Automate	Автоматизация
Autosaves of never-saved documents go here; empty uses the default	Сюда попадают автосохранения ни разу не сохранённых документов; пусто — папка по умолчанию
Average	Среднее
BMP…	BMP…
Back to the colour this opened on	Вернуться к цвету, с которым открылось
Background — double-click for the picker	Фон — дважды щёлкните, чтобы открыть палитру
Based On	На основе
Baseline shift	Смещение базовой линии
Baseline to baseline. Auto leading follows the type size.	От базовой линии до базовой линии. Авто интерлиньяж следует размеру шрифта.
Batch	Пакетная обработка
Batch…	Пакетная обработка…
Bend	Изгиб
Bevel	Скос
Bevel & Emboss	Тиснение
Bevel & Emboss…	Тиснение…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	Свяжите переменную замены текста с текстовым слоем или переменную видимости с любым слоем.
Bitmap	Битовый формат
Bitmap…	Битовый формат…
Black	Чёрный
Black & White	Чёрно-белое
Black & White…	Чёрно-белое…
Black to Transparent	От чёрного к прозрачному
Black to White	От чёрного к белому
Black to white through the inks	От чёрного к белому через краски
Blacks	Чёрные
Blend If	Наложить, если
Blend Mode: Color	Режим наложения: Цветность
Blend Mode: Color Burn	Режим наложения: Затемнение основы
Blend Mode: Color Dodge	Режим наложения: Осветление основы
Blend Mode: Darken	Режим наложения: Замена тёмным
Blend Mode: Difference	Режим наложения: Разница
Blend Mode: Dissolve	Режим наложения: Затухание
Blend Mode: Exclusion	Режим наложения: Исключение
Blend Mode: Hard Light	Режим наложения: Жёсткий свет
Blend Mode: Hard Mix	Режим наложения: Жёсткое смешение
Blend Mode: Hue	Режим наложения: Цветовой тон
Blend Mode: Lighten	Режим наложения: Замена светлым
Blend Mode: Linear Burn	Режим наложения: Линейный затемнитель
Blend Mode: Linear Dodge (Add)	Режим наложения: Линейный осветлитель (добавить)
Blend Mode: Linear Light	Режим наложения: Линейный свет
Blend Mode: Luminosity	Режим наложения: Яркость
Blend Mode: Multiply	Режим наложения: Умножение
Blend Mode: Normal	Режим наложения: Обычные
Blend Mode: Overlay	Режим наложения: Перекрытие
Blend Mode: Pin Light	Режим наложения: Точечный свет
Blend Mode: Saturation	Режим наложения: Насыщенность
Blend Mode: Screen	Режим наложения: Экран
Blend Mode: Soft Light	Режим наложения: Мягкий свет
Blend Mode: Vivid Light	Режим наложения: Яркий свет
Blending	Наложение
Blending Options	Параметры наложения
Blending Options…	Параметры наложения…
Blending options	Параметры наложения
Blends a source document, layer or channel into the active layer as one step.	Смешивает исходный документ, слой или канал с активным слоем за один шаг.
Blends one channel of each of two sources into a new channel, a selection or a new document.	Смешивает по одному каналу из двух источников в новый канал, выделение или новый документ.
Blue	Синий
Blues	Синие
Blur	Размытие
Blur Gallery	Галерея размытия
Blur More	Размытие +
Bold	Полужирный
Border Selection	Выделение границы
Border…	Граница…
Both axes	Обе оси
Bottom	Низ
Bottom Edges	Нижние края
Bottom Left	Внизу слева
Bottom Right	Внизу справа
Bottom Right Pixel Color	Цвет нижнего правого пикселя
Bottom left	Внизу слева
Bottom right	Внизу справа
Box Blur…	Размытие по рамке…
Box height	Высота рамки
Brightness	Яркость
Brightness jitter	Колебание яркости
Brightness/Contrast	Яркость/Контрастность
Brightness/Contrast…	Яркость/Контрастность…
Bring Forward	Переложить вперёд
Bring to Front	На передний план
Brush Editor	Редактор кистей
Brush: Background	Кисть: фон
Brush: Foreground	Кисть: основной цвет
Brushes	Кисти
Bulge	Выпуклость
Butt	Срез
CMYK Color	Цвета CMYK
Calculations	Вычисления
Calculations…	Вычисления…
Camera Raw…	Camera Raw…
Canvas Size	Размер холста
Canvas Size…	Размер холста…
Canvas extension	Расширение холста
Caps	Регистр
Carries the XMP; the source's EXIF goes into JPEG only	Содержит XMP; EXIF источника попадает только в JPEG
Cell size (pixels)	Размер ячейки (пиксели)
Center	По центру
Center horizontally on the canvas	По центру холста по горизонтали
Center vertically on the canvas	По центру холста по вертикали
Centimeters	Сантиметры
Centre	Центр
Centre the view on this note	Центрировать вид на этой заметке
Change Bit Depth	Изменить битовую глубину
Change Colour Mode	Изменить цветовой режим
Change Layer Properties	Изменить свойства слоя
Change how many pixels the document has, or how large it prints.	Измените число пикселей в документе или его размер при печати.
Channel	Канал
Channel Mixer	Микширование каналов
Channel Mixer…	Микширование каналов…
Channel thumbnail	Миниатюра канала
Channels	Каналы
Character	Символ
Character Style	Стиль символов
Character Styles	Стили символов
