# Raster Studio interface strings, es. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Español
 fps	 fps
 frames	 fotogramas
 ms	 ms
 px	 px
0 bytes	0 bytes
16 Bits/Channel	16 bits/canal
16 bit	16 bits
32 Bits/Channel	32 bits/canal
3D	3D
50% Grey	Gris al 50%
50% Threshold	Umbral del 50%
8 Bits/Channel	8 bits/canal
8 bit	8 bits
90° Clockwise	90° en sentido horario
90° Counter Clockwise	90° en sentido antihorario
A CSV row has the wrong number of fields, at line	Una fila CSV tiene un número incorrecto de campos, en la línea
A blank canvas at any size	Un lienzo en blanco de cualquier tamaño
A colour channel cannot be deleted	No se puede eliminar un canal de color
A layered raster editor	Un editor de imágenes rasterizadas con capas
A palette holds 2 to 256 colours	Una paleta contiene de 2 a 256 colores
A saved selection already has that name	Ya hay una selección guardada con ese nombre
A saved selection: click to open Select > Load Selection, then choose it by name there	Una selección guardada: haga clic para abrir Seleccionar > Cargar selección y elíjala allí por su nombre
A slice needs a name	Un sector necesita un nombre
AV1 (smaller, newer players)	AV1 (más pequeño, reproductores más nuevos)
About Raster Studio	Acerca de Raster Studio
Absolute Colorimetric	Colorimétrico absoluto
Action sets	Conjuntos de acciones
Actions	Acciones
Adaptive (median cut)	Adaptativa (corte medio)
Add "copy" to copied layers	Añadir «copia» a las capas copiadas
Add Artboard Above	Añadir mesa de trabajo arriba
Add Artboard Below	Añadir mesa de trabajo abajo
Add Artboard Left	Añadir mesa de trabajo a la izquierda
Add Artboard Right	Añadir mesa de trabajo a la derecha
Add Filter Mask	Añadir máscara de filtro
Add Media	Añadir medios
Add Noise…	Añadir ruido…
Add a layer mask	Añadir una máscara de capa
Add a smart filter mask	Añadir una máscara de filtro inteligente
Place an image or video file (File > Place Embedded); a video becomes a video layer at the playhead	Colocar un archivo de imagen o vídeo (Archivo > Colocar incrustado); un vídeo se convierte en una capa de vídeo en el cabezal de reproducción
Add an adjustment layer	Añadir una capa de ajuste
Add another instance of this effect	Añadir otra instancia de este efecto
Add current colour	Añadir el color actual
Add export	Añadir exportación
Add frame	Añadir fotograma
Add or remove room around the image. Pixels are not resampled.	Añade o quita espacio alrededor de la imagen. Los píxeles no se remuestrean.
Add shortcut	Añadir atajo
