# Raster Studio interface strings, it. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Italiano
 fps	 fps
 frames	 fotogrammi
 ms	 ms
 px	 px
0 bytes	0 byte
16 Bits/Channel	16 bit/canale
16 bit	16 bit
32 Bits/Channel	32 bit/canale
3D	3D
50% Grey	Grigio 50%
50% Threshold	Soglia 50%
8 Bits/Channel	8 bit/canale
8 bit	8 bit
90° Clockwise	90° orario
90° Counter Clockwise	90° antiorario
A CSV row has the wrong number of fields, at line	Una riga CSV ha un numero errato di campi, alla riga
A blank canvas at any size	Una tela vuota di qualsiasi dimensione
A colour channel cannot be deleted	Un canale di colore non può essere eliminato
A layered raster editor	Un editor di immagini raster a livelli
A palette holds 2 to 256 colours	Una palette contiene da 2 a 256 colori
A saved selection already has that name	Una selezione salvata ha già quel nome
A saved selection: click to open Select > Load Selection, then choose it by name there	Una selezione salvata: fai clic per aprire Selezione > Carica selezione, poi sceglila lì per nome
A slice needs a name	Una sezione ha bisogno di un nome
AV1 (smaller, newer players)	AV1 (più piccolo, lettori più recenti)
About Raster Studio	Informazioni su Raster Studio
Absolute Colorimetric	Colorimetrico assoluto
Action sets	Set di azioni
Actions	Azioni
Adaptive (median cut)	Adattiva (taglio mediano)
Add "copy" to copied layers	Aggiungi "copia" ai livelli copiati
Add Artboard Above	Aggiungi tavola da disegno sopra
Add Artboard Below	Aggiungi tavola da disegno sotto
Add Artboard Left	Aggiungi tavola da disegno a sinistra
Add Artboard Right	Aggiungi tavola da disegno a destra
Add Filter Mask	Aggiungi maschera filtro
Add Media	Aggiungi media
Add Noise…	Aggiungi disturbo…
Add a layer mask	Aggiungi una maschera di livello
Add a smart filter mask	Aggiungi una maschera per filtro avanzato
Place an image or video file (File > Place Embedded); a video becomes a video layer at the playhead	Inserisci un file immagine o video (File > Inserisci incorporato); un video diventa un livello video all'indicatore di riproduzione
Add an adjustment layer	Aggiungi un livello di regolazione
Add another instance of this effect	Aggiungi un'altra istanza di questo effetto
Add current colour	Aggiungi il colore corrente
Add export	Aggiungi esportazione
Add frame	Aggiungi fotogramma
Add or remove room around the image. Pixels are not resampled.	Aggiunge o toglie spazio attorno all'immagine. I pixel non vengono ricampionati.
Add shortcut	Aggiungi scelta rapida
Add to Selection	Aggiungi alla selezione
Adds one guide at a document coordinate, in pixels.	Aggiunge una guida a una coordinata del documento, in pixel.
Adjustment	Regolazione
Adjustments	Regolazioni
Advanced	Avanzate
Again	Di nuovo
Again with Copy	Di nuovo con copia
Aliased (pencil)	Senza anti-alias (matita)
Align	Allinea
Align the bottom edge to the canvas	Allinea il bordo inferiore alla tela
Align the left edge to the canvas	Allinea il bordo sinistro alla tela
Align the right edge to the canvas	Allinea il bordo destro alla tela
Align the top edge to the canvas	Allinea il bordo superiore alla tela
Align with layer	Allinea al livello
All	Tutto
All Caps	Tutto maiuscole
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	Tutto maiuscole dà a ogni minuscola la forma della sua maiuscola; Maiuscoletto la rende maiuscola al 70 % della dimensione. Il testo salvato mantiene le maiuscole e minuscole digitate.
All Layers	Tutti i livelli
Alpha	Alfa
Already used by	Già usato da
Alt Tag	Tag Alt
Amount	Quantità
An export needs at least one output	Un'esportazione richiede almeno un output
An image or project from this computer	Un'immagine o un progetto da questo computer
Angle	Angolo
Angle (degrees)	Angolo (gradi)
Angle jitter	Variazione angolo
Animation	Animazione
Another slice already has this name	Un'altra sezione ha già questo nome
Appearance	Aspetto
Applied	Applicata
Apply	Applica
Apply Guides	Applica guide
Apply Image	Applica immagine
Apply Image…	Applica immagine…
Apply Mask	Applica maschera
Apply Style	Applica stile
Apply Style 1	Applica stile 1
Apply Style Preset…	Applica stile predefinito…
Apply the next comp	Applica la composizione successiva
Apply the previous comp	Applica la composizione precedente
Apply this mask	Applica questa maschera
Approximate. The composited result is what the canvas shows.	Approssimativo. Il risultato composito è ciò che mostra la tela.
Arbitrary…	Arbitraria…
Arc	Arco
Arc Lower	Arco inferiore
Arc Upper	Arco superiore
Arch	Arcata
Arrange	Disponi
Artboard	Tavola da disegno
Artboard from Layers	Tavola da disegno da livelli
Artboards in one document	Tavole da disegno in un documento
Artboards to Files…	Tavole da disegno in file…
