# Raster Studio interface strings, ja. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	日本語
 fps	 fps
 frames	 フレーム
 ms	 ms
 px	 px
0 bytes	0 バイト
16 Bits/Channel	16 bit/チャンネル
16 bit	16 bit
32 Bits/Channel	32 bit/チャンネル
3D	3D
50% Grey	50% グレー
50% Threshold	2 階調化 (50%)
8 Bits/Channel	8 bit/チャンネル
8 bit	8 bit
90° Clockwise	90°（時計回り）
90° Counter Clockwise	90°（反時計回り）
A CSV row has the wrong number of fields, at line	CSV の行のフィールド数が正しくありません。行
A blank canvas at any size	任意のサイズの空白のカンバス
A colour channel cannot be deleted	カラーチャンネルは削除できません
A layered raster editor	レイヤー対応のラスター画像エディター
A palette holds 2 to 256 colours	パレットには 2〜256 色が入ります
A saved selection already has that name	その名前の保存済み選択範囲は既にあります
A saved selection: click to open Select > Load Selection, then choose it by name there	保存済みの選択範囲：クリックすると「選択範囲 > 選択範囲を読み込む」が開くので、そこで名前で選択します
A slice needs a name	スライスには名前が必要です
AV1 (smaller, newer players)	AV1（小さいが新しいプレーヤーが必要）
About Raster Studio	Raster Studio について
Absolute Colorimetric	絶対的な色域を維持
Action sets	アクションセット
Actions	アクション
Adaptive (median cut)	適応（メディアンカット）
Add "copy" to copied layers	コピーしたレイヤーに「のコピー」を付ける
Add Artboard Above	上にアートボードを追加
Add Artboard Below	下にアートボードを追加
Add Artboard Left	左にアートボードを追加
Add Artboard Right	右にアートボードを追加
Add Filter Mask	フィルターマスクを追加
Add Media	メディアを追加
Add Noise…	ノイズを加える…
Add a layer mask	レイヤーマスクを追加
Add a smart filter mask	スマートフィルターマスクを追加
Add a video file (MP4: H.264 or AV1) as a video layer at the playhead; audio is not read	再生ヘッドの位置にビデオファイル（MP4：H.264 または AV1）をビデオレイヤーとして追加します。音声は読み込まれません
Add an adjustment layer	調整レイヤーを追加
Add another instance of this effect	この効果のインスタンスをもう 1 つ追加
Add current colour	現在のカラーを追加
Add export	書き出しを追加
Add frame	フレームを追加
Add or remove room around the image. Pixels are not resampled.	画像の周囲に余白を追加または削除します。ピクセルは再サンプルされません。
Add shortcut	ショートカットを追加
Add to Selection	選択範囲に追加
Adds one guide at a document coordinate, in pixels.	ドキュメント座標（ピクセル）にガイドを 1 本追加します。
Adjustments	色調補正
Advanced	詳細
Again	再実行
Again with Copy	再実行してコピー
Aliased (pencil)	アンチエイリアスなし（鉛筆）
Align	整列
Align the bottom edge to the canvas	下端をカンバスに揃える
Align the left edge to the canvas	左端をカンバスに揃える
Align the right edge to the canvas	右端をカンバスに揃える
Align the top edge to the canvas	上端をカンバスに揃える
Align with layer	レイヤーに揃える
All	すべて
All Caps	オールキャップス
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	オールキャップスは小文字を大文字の形にし、スモールキャップスは 70 % サイズの大文字の形にします。保存されるテキストは入力したとおりの大文字・小文字のままです。
All Layers	すべてのレイヤー
Alpha	アルファ
Already used by	使用中：
Alt Tag	Alt タグ
Amount	量
An export needs at least one output	書き出しには出力が 1 つ以上必要です
An image or project from this computer	このコンピューターの画像またはプロジェクト
Angle	角度
Angle (degrees)	角度（度）
Angle jitter	角度のジッター
Animation	アニメーション
Another slice already has this name	別のスライスが既にこの名前を使っています
Appearance	外観
Applied	適用済み
Apply	適用
Apply Guides	ガイドを適用
Apply Image	画像操作
Apply Image…	画像操作…
Apply Mask	マスクを適用
Apply Style	スタイルを適用
Apply Style 1	スタイル 1 を適用
Apply Style Preset…	スタイルプリセットを適用…
Apply the next comp	次のカンプを適用
Apply the previous comp	前のカンプを適用
Apply this mask	このマスクを適用
Approximate. The composited result is what the canvas shows.	近似値です。合成結果はカンバスの表示どおりです。
Arbitrary…	角度入力…
Arc	円弧
Arc Lower	下弦
Arc Upper	上弦
Arch	アーチ
Arrange	重ね順
Artboard	アートボード
Artboard from Layers	レイヤーからアートボード
Artboards in one document	1 つのドキュメント内のアートボード
Artboards to Files…	アートボードからファイル…
Assign Profile	プロファイルの指定
Assigned {name}: the pixel numbers are unchanged, so the colours look different	{name} を指定しました：ピクセル値は変わらないため、色の見え方が変わります
Author	作成者
Auto Color	自動カラー補正
Auto Contrast	自動コントラスト
Auto Tone	自動トーン補正
Auto leading	自動行送り
Auto-Align Layers…	レイヤーを自動整列…
Auto-Blend Layers…	レイヤーを自動合成…
Automate	自動処理
Autosaves of never-saved documents go here; empty uses the default	一度も保存していないドキュメントの自動保存先です。空欄の場合は既定の場所を使います
Average	平均
BMP…	BMP…
Back to the colour this opened on	開いたときのカラーに戻す
Background — double-click for the picker	背景色 — ダブルクリックでカラーピッカー
Based On	基準
Baseline shift	ベースラインシフト
Baseline to baseline. Auto leading follows the type size.	ベースラインからベースラインまで。自動行送りは文字サイズに従います。
Batch	バッチ
Batch…	バッチ…
Bend	カーブ
Bevel	ベベル
Bevel & Emboss	ベベルとエンボス
Bevel & Emboss…	ベベルとエンボス…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	テキスト置換変数をテキストレイヤーに、表示/非表示変数を任意のレイヤーに割り当てます。
Bitmap	モノクロ 2 階調
Bitmap…	モノクロ 2 階調…
Black	ブラック
Black & White	白黒
Black & White…	白黒…
Black to Transparent	黒から透明に
Black to White	黒から白に
Black to white through the inks	インクを経由して黒から白へ
Blacks	黒レベル
Blend If	ブレンド条件
Blend Mode: Color	描画モード：カラー
Blend Mode: Color Burn	描画モード：焼き込みカラー
Blend Mode: Color Dodge	描画モード：覆い焼きカラー
Blend Mode: Darken	描画モード：比較（暗）
Blend Mode: Difference	描画モード：差の絶対値
Blend Mode: Dissolve	描画モード：ディザ合成
