# Raster Studio interface strings, de. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Deutsch
 fps	 fps
 frames	 Frames
 ms	 ms
 px	 px
0 bytes	0 Byte
16 Bits/Channel	16 Bit/Kanal
16 bit	16 Bit
32 Bits/Channel	32 Bit/Kanal
3D	3D
50% Grey	50 % Grau
50% Threshold	50-%-Schwellenwert
8 Bits/Channel	8 Bit/Kanal
8 bit	8 Bit
90° Clockwise	90° im Uhrzeigersinn
90° Counter Clockwise	90° gegen den Uhrzeigersinn
A CSV row has the wrong number of fields, at line	Eine CSV-Zeile hat die falsche Anzahl Felder, in Zeile
A blank canvas at any size	Eine leere Arbeitsfläche in beliebiger Größe
A colour channel cannot be deleted	Ein Farbkanal kann nicht gelöscht werden
A layered raster editor	Ein Rastereditor mit Ebenen
A palette holds 2 to 256 colours	Eine Palette umfasst 2 bis 256 Farben
A saved selection already has that name	Eine gespeicherte Auswahl hat bereits diesen Namen
A saved selection: click to open Select > Load Selection, then choose it by name there	Eine gespeicherte Auswahl: Klicken, um Auswahl > Auswahl laden zu öffnen, und sie dort nach Namen wählen
A slice needs a name	Ein Slice braucht einen Namen
AV1 (smaller, newer players)	AV1 (kleiner, neuere Player)
About Raster Studio	Über Raster Studio
Absolute Colorimetric	Absolut farbmetrisch
Action sets	Aktionssätze
Actions	Aktionen
Adaptive (median cut)	Adaptiv (Median Cut)
Add "copy" to copied layers	„Kopie“ an kopierte Ebenen anhängen
Add Artboard Above	Zeichenfläche oben hinzufügen
Add Artboard Below	Zeichenfläche unten hinzufügen
Add Artboard Left	Zeichenfläche links hinzufügen
Add Artboard Right	Zeichenfläche rechts hinzufügen
Add Filter Mask	Filtermaske hinzufügen
Add Media	Medien hinzufügen
Add Noise…	Rauschen hinzufügen…
Add a layer mask	Ebenenmaske hinzufügen
Add a smart filter mask	Smartfilter-Maske hinzufügen
Add a video file (MP4: H.264 or AV1) as a video layer at the playhead; audio is not read	Eine Videodatei (MP4: H.264 oder AV1) als Videoebene an der Abspielposition hinzufügen; Audio wird nicht gelesen
Add an adjustment layer	Einstellungsebene hinzufügen
Add another instance of this effect	Eine weitere Instanz dieses Effekts hinzufügen
Add current colour	Aktuelle Farbe hinzufügen
Add export	Export hinzufügen
Add frame	Frame hinzufügen
Add or remove room around the image. Pixels are not resampled.	Raum um das Bild hinzufügen oder entfernen. Pixel werden nicht neu berechnet.
Add shortcut	Tastaturbefehl hinzufügen
Add to Selection	Der Auswahl hinzufügen
Adds one guide at a document coordinate, in pixels.	Fügt eine Hilfslinie an einer Dokumentkoordinate in Pixeln hinzu.
Adjustments	Korrekturen
Advanced	Erweitert
Again	Erneut
Again with Copy	Erneut mit Kopie
Aliased (pencil)	Ohne Glättung (Buntstift)
Align	Ausrichten
Align the bottom edge to the canvas	Unterkante an der Arbeitsfläche ausrichten
Align the left edge to the canvas	Linke Kante an der Arbeitsfläche ausrichten
Align the right edge to the canvas	Rechte Kante an der Arbeitsfläche ausrichten
Align the top edge to the canvas	Oberkante an der Arbeitsfläche ausrichten
Align with layer	An Ebene ausrichten
All	Alles
All Caps	Großbuchstaben
