# Raster Studio interface strings, tr. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Türkçe
 fps	 fps
 frames	 kare
 ms	 ms
 px	 px
0 bytes	0 bayt
16 Bits/Channel	16 Bit/Kanal
16 bit	16 bit
32 Bits/Channel	32 Bit/Kanal
3D	3B
50% Grey	%50 Gri
50% Threshold	%50 Eşik
8 Bits/Channel	8 Bit/Kanal
8 bit	8 bit
90° Clockwise	90° Saat Yönünde
90° Counter Clockwise	90° Saat Yönünün Tersine
A CSV row has the wrong number of fields, at line	Bir CSV satırında alan sayısı yanlış, satır
A blank canvas at any size	Her boyutta boş bir tuval
A colour channel cannot be deleted	Bir renk kanalı silinemez
A layered raster editor	Katmanlı bir raster düzenleyici
A palette holds 2 to 256 colours	Bir palet 2 ile 256 arasında renk içerir
A saved selection already has that name	Bu ada sahip kayıtlı bir seçim zaten var
A saved selection: click to open Select > Load Selection, then choose it by name there	Kayıtlı bir seçim: Seç > Seçimi Yükle'yi açmak için tıklayın, sonra orada adıyla seçin
A slice needs a name	Bir dilimin adı olmalı
AV1 (smaller, newer players)	AV1 (daha küçük, daha yeni oynatıcılar)
About Raster Studio	Raster Studio Hakkında
Absolute Colorimetric	Mutlak Kolorimetrik
Action sets	Eylem setleri
Actions	Eylemler
Adaptive (median cut)	Uyarlamalı (medyan kesim)
Add "copy" to copied layers	Kopyalanan katmanlara "kopya" ekle
Add Artboard Above	Üste Çalışma Yüzeyi Ekle
Add Artboard Below	Alta Çalışma Yüzeyi Ekle
Add Artboard Left	Sola Çalışma Yüzeyi Ekle
Add Artboard Right	Sağa Çalışma Yüzeyi Ekle
Add Filter Mask	Filtre Maskesi Ekle
Add Media	Medya Ekle
Add Noise…	Gürültü Ekle…
Add a layer mask	Katman maskesi ekle
Add a smart filter mask	Akıllı filtre maskesi ekle
Place an image or video file (File > Place Embedded); a video becomes a video layer at the playhead	Bir görüntü veya video dosyası yerleştir (Dosya > Gömülü Yerleştir); video, oynatma kafasında bir video katmanı olur
Add an adjustment layer	Ayarlama katmanı ekle
Add another instance of this effect	Bu efektin başka bir örneğini ekle
Add current colour	Geçerli rengi ekle
Add export	Dışa aktarma ekle
Add frame	Kare ekle
Add or remove room around the image. Pixels are not resampled.	Görüntünün çevresine alan ekleyin veya kaldırın. Pikseller yeniden örneklenmez.
Add shortcut	Kısayol ekle
Add to Selection	Seçime Ekle
Adds one guide at a document coordinate, in pixels.	Belge koordinatına piksel cinsinden bir kılavuz ekler.
Adjustment	Ayarlama
Adjustments	Ayarlamalar
Advanced	Gelişmiş
Again	Yinele
Again with Copy	Kopyayla Yinele
Aliased (pencil)	Yumuşatmasız (kurşun kalem)
Align	Hizala
Align the bottom edge to the canvas	Alt kenarı tuvale hizala
Align the left edge to the canvas	Sol kenarı tuvale hizala
Align the right edge to the canvas	Sağ kenarı tuvale hizala
Align the top edge to the canvas	Üst kenarı tuvale hizala
Align with layer	Katmanla hizala
All	Tümü
All Caps	Tümü Büyük Harf
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	Tümü Büyük Harf her küçük harfi büyük harf olarak şekillendirir; Küçük Büyük Harf onu %70 boyutta büyük harf olarak şekillendirir. Kayıtlı metin yazdığınız büyük/küçük harfi korur.
All Layers	Tüm Katmanlar
