# Raster Studio interface strings, ko. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	한국어
 fps	 fps
 frames	 프레임
 ms	 ms
 px	 px
0 bytes	0바이트
16 Bits/Channel	16비트/채널
16 bit	16비트
32 Bits/Channel	32비트/채널
3D	3D
50% Grey	50% 회색
50% Threshold	50% 한계값
8 Bits/Channel	8비트/채널
8 bit	8비트
90° Clockwise	90° 시계 방향
90° Counter Clockwise	90° 시계 반대 방향
A CSV row has the wrong number of fields, at line	CSV 행의 필드 수가 잘못되었습니다. 행
A blank canvas at any size	원하는 크기의 빈 캔버스
A colour channel cannot be deleted	색상 채널은 삭제할 수 없습니다
A layered raster editor	레이어를 지원하는 래스터 편집기
A palette holds 2 to 256 colours	팔레트에는 2~256가지 색상이 들어갑니다
A saved selection already has that name	같은 이름의 저장된 선택 영역이 이미 있습니다
A saved selection: click to open Select > Load Selection, then choose it by name there	저장된 선택 영역: 클릭하면 선택 > 선택 영역 불러오기가 열리며, 거기서 이름으로 선택합니다
A slice needs a name	분할 영역에는 이름이 필요합니다
AV1 (smaller, newer players)	AV1(더 작음, 최신 플레이어 필요)
About Raster Studio	Raster Studio 정보
Absolute Colorimetric	절대 색도계
Action sets	액션 세트
Actions	액션
Adaptive (median cut)	적응(중간값 분할)
Add "copy" to copied layers	복사한 레이어에 "복사" 추가
Add Artboard Above	위에 대지 추가
Add Artboard Below	아래에 대지 추가
Add Artboard Left	왼쪽에 대지 추가
Add Artboard Right	오른쪽에 대지 추가
Add Filter Mask	필터 마스크 추가
Add Media	미디어 추가
Add Noise…	노이즈 추가…
Add a layer mask	레이어 마스크 추가
Add a smart filter mask	고급 필터 마스크 추가
Place an image or video file (File > Place Embedded); a video becomes a video layer at the playhead	이미지 또는 비디오 파일을 가져옵니다 (파일 > 포함 가져오기). 비디오는 재생 헤드 위치에서 비디오 레이어가 됩니다
Add an adjustment layer	조정 레이어 추가
Add another instance of this effect	이 효과의 인스턴스를 하나 더 추가
Add current colour	현재 색상 추가
Add export	내보내기 추가
Add frame	프레임 추가
Add or remove room around the image. Pixels are not resampled.	이미지 주위에 공간을 추가하거나 제거합니다. 픽셀은 리샘플링되지 않습니다.
Add shortcut	바로 가기 추가
Add to Selection	선택 영역에 추가
Adds one guide at a document coordinate, in pixels.	문서 좌표(픽셀)에 안내선 하나를 추가합니다.
Adjustment	조정
Adjustments	조정
Advanced	고급
Again	다시
Again with Copy	복사하여 다시
Aliased (pencil)	앨리어스(연필)
Align	정렬
Align the bottom edge to the canvas	아래쪽 가장자리를 캔버스에 맞춤
Align the left edge to the canvas	왼쪽 가장자리를 캔버스에 맞춤
Align the right edge to the canvas	오른쪽 가장자리를 캔버스에 맞춤
Align the top edge to the canvas	위쪽 가장자리를 캔버스에 맞춤
Align with layer	레이어에 맞춤
All	모두
All Caps	모두 대문자
